Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
8;31;7;50;3
8;31;7;49;3
8;31;7;48;3
8;31;7;47;3
8;31;7;46;3
8;31;7;45;3
8;31;7;44;3
8;31;7;43;3
8;31;7;42;3
8;31;7;41;3
8;31;7;40;3
8;31;7;39;3
8;31;7;38;3
8;31;7;37;3
8;31;7;36;3
8;31;7;35;3
8;31;7;34;3
8;31;7;33;3
8;31;7;32;3
8;31;7;31;3
8;31;7;24;3
8;31;7;25;3
8;31;7;26;3
8;31;7;28;3
8;31;7;27;3
8;31;7;30;3
9;31;7;29;3
9;30;8;1;4
9;30;8;2;4
10;30;8;4;4
9;30;8;3;4
10;30;8;6;4
10;30;8;5;4
9;30;8;7;4
10;30;8;8;4
10;30;8;9;4
10;30;8;10;4
9;30;8;11;4
9;30;8;12;4
9;30;8;13;4
9;30;8;14;4
10;30;8;16;4
9;30;8;15;4
9;30;8;17;4
9;30;8;18;4
10;30;8;19;4
10;30;8;20;4
10;30;8;21;4
9;30;8;22;4
9;30;8;100;4
9;30;8;99;4
9;30;8;98;4
9;30;8;97;4
9;30;8;96;4
9;30;8;95;4
9;30;8;94;4
9;30;8;93;4
9;30;8;92;4
9;30;8;91;4
9;30;8;90;4
9;30;8;89;4
9;30;8;88;4
9;30;8;87;4
9;30;8;86;4
9;30;8;85;4
9;30;8;84;4
9;30;8;83;4
9;30;8;82;4
9;30;8;81;4
9;30;8;80;4
9;30;8;79;4
9;30;8;78;4
9;30;8;77;4
9;30;8;76;4
9;30;8;75;4
9;30;8;74;4
9;30;8;73;4
9;30;8;72;4
9;30;8;71;4
9;30;8;70;4
9;30;8;69;4
9;30;8;68;4
9;30;8;67;4
9;30;8;66;4
9;30;8;65;4
9;30;8;64;4
9;30;8;63;4
9;30;8;62;4
9;30;8;61;4
9;30;8;60;4
9;30;8;59;4
9;30;8;58;4
9;30;8;57;4
9;30;8;56;4
9;30;8;55;4
9;30;8;54;4
9;30;8;53;4
9;30;8;52;4
9;30;8;51;4
9;30;8;50;4
9;30;8;49;4
9;30;8;48;4
9;30;8;47;4
9;30;8;46;4
9;30;8;45;4
9;30;8;44;4
9;30;8;43;4
9;30;8;42;4
9;30;8;41;4
9;30;8;40;4
9;30;8;39;4
9;30;8;38;4
9;30;8;37;4
9;30;8;36;4
9;30;8;35;4
9;30;8;34;4
9;30;8;33;4
9;30;8;32;4
9;30;8;31;4
10;30;8;23;4
9;30;8;24;4
10;30;8;25;4
9;30;8;26;4
10;30;8;28;4
10;30;8;27;4
10;30;8;29;4
9;30;8;30;4
11;30;9;2;5
11;30;9;1;5
11;30;9;3;5
11;30;9;4;5
11;30;9;5;5
10;30;9;6;5
11;30;9;7;5
12;30;9;8;5
11;30;9;9;5
11;30;9;10;5
11;30;9;11;5
11;30;9;12;5
11;30;9;13;5
12;30;9;14;5
11;30;9;16;5
11;30;9;15;5
11;30;9;18;5
11;30;9;17;5
11;30;9;19;5
11;30;9;20;5
11;30;9;21;5
11;30;9;100;5
11;30;9;99;5
11;30;9;98;5
11;30;9;97;5
11;30;9;96;5
11;30;9;95;5
