;Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
398;18.0;27.0;14;9;7
399;18.0;27.0;14;10;7
400;18.0;27.0;14;11;7
401;18.0;27.0;14;12;7
402;18.0;27.0;14;13;7
403;17.0;27.0;14;14;7
404;18.0;27.0;14;15;7
405;18.0;27.0;14;16;7
406;18.0;27.0;14;17;7
407;17.0;27.0;14;18;7
408;18.0;27.0;14;19;7
409;18.0;27.0;14;20;7
410;18.0;27.0;14;21;7
411;18.0;27.0;14;22;7
412;18.0;27.0;14;23;7
413;18.0;27.0;14;24;7
414;17.0;27.0;14;25;7
415;18.0;27.0;14;26;7
416;19.0;27.0;14;27;7
417;18.0;27.0;14;28;7
418;18.0;27.0;14;29;7
419;18.0;27.0;14;30;7
420;21.0;27.0;15;1;7
421;21.0;27.0;15;2;7
422;20.0;27.0;15;3;7
423;21.0;27.0;15;4;7
424;20.0;27.0;15;5;7
425;19.0;27.0;15;6;7
426;20.0;27.0;15;7;7
427;21.0;27.0;15;8;7
428;21.0;27.0;15;9;7
429;20.0;27.0;15;10;7
430;21.0;27.0;15;11;7
431;21.0;27.0;15;12;7
432;21.0;27.0;15;13;7
433;19.0;27.0;15;14;7
434;20.0;27.0;15;15;7
435;19.0;27.0;15;16;7
436;21.0;27.0;15;17;7
437;19.0;27.0;15;18;7
438;20.0;27.0;15;19;7
439;20.0;27.0;15;20;7
440;20.0;27.0;15;21;7
441;20.0;27.0;15;22;7
442;20.0;27.0;15;23;7
443;20.0;27.0;15;24;7
444;20.0;27.0;15;26;7
445;21.0;27.0;15;25;7
446;20.0;27.0;15;28;7
447;20.0;27.0;15;27;7
448;20.0;27.0;15;29;7
449;20.0;27.0;15;30;7
450;22.0;26.0;16;2;8
451;21.0;26.0;16;1;8
452;21.0;26.0;16;3;8
453;21.0;26.0;16;4;8
454;22.0;27.0;16;5;8
455;22.0;26.0;16;6;8
456;22.0;26.0;16;8;8
457;23.0;26.0;16;7;8
458;22.0;27.0;16;9;8
459;22.0;27.0;16;10;8
460;21.0;26.0;16;12;8
461;22.0;27.0;16;11;8
462;21.0;26.0;16;13;8
463;21.0;26.0;16;14;8
464;22.0;26.0;16;16;8
465;23.0;27.0;16;15;8
466;22.0;26.0;16;17;8
467;23.0;26.0;16;18;8
468;22.0;27.0;16;19;8
469;22.0;27.0;16;20;8
470;21.0;27.0;16;21;8
471;22.0;27.0;16;22;8
472;22.0;26.0;16;23;8
473;22.0;26.0;16;24;8
474;21.0;26.0;16;25;8
475;22.0;26.0;16;26;8
476;22.0;26.0;16;27;8
477;23.0;26.0;16;28;8
478;22.0;26.0;16;30;8
479;23.0;26.0;16;29;8
480;24.0;27.0;17;1;8
481;25.0;27.0;17;2;8
482;24.0;26.0;17;3;8
483;24.0;27.0;17;4;8
484;24.0;27.0;17;5;8
485;24.0;27.0;17;6;8
486;24.0;27.0;17;8;8
487;25.0;27.0;17;7;8
488;24.0;27.0;17;9;8
489;24.0;26.0;17;10;8
490;24.0;27.0;17;12;8
491;24.0;27.0;17;11;8
492;26.0;27.0;17;14;8
493;24.0;27.0;17;13;8
494;24.0;27.0;17;15;8
495;24.0;27.0;17;16;8
496;24.0;27.0;17;17;8
497;24.0;26.0;17;18;8
498;24.0;26.0;17;19;8
499;24.0;27.0;17;20;8
500;24.0;27.0;17;21;8
501;24.0;27.0;17;22;8
502;24.0;27.0;17;23;8
503;24.0;27.0;17;24;8
504;24.0;26.0;17;25;8
505;24.0;27.0;17;26;8
506;24.0;27.0;17;27;8
507;24.0;27.0;17;28;8
508;24.0;26.0;17;29;8
509;25.0;26.0;17;30;8
